t_ms,magnitude,coherence,score,fraction,peak_2s,gesture
1787849680428,0.0913,0.0000,0.0000,0.0000,0.2110,default
1787849680495,0.0674,0.0000,0.0000,0.0000,0.2110,default
1787849680562,0.0484,0.0000,0.0000,0.0000,0.2110,default
1787849680629,0.0605,0.0000,0.0000,0.0000,0.1570,default
1787849680693,0.0749,0.0000,0.0000,0.0000,0.1570,default
1787849680761,0.0696,0.0000,0.0000,0.0000,0.1570,default
1787849680828,0.0654,0.0000,0.0000,0.0000,0.1570,default
1787849680894,0.0549,0.0000,0.0000,0.0000,0.1570,default
1787849680961,0.0597,0.0000,0.0000,0.0000,0.1570,default
1787849681026,0.0821,0.0000,0.0000,0.0000,0.1570,default
1787849681094,0.0990,0.0000,0.0000,0.0000,0.1570,default
1787849681161,0.1037,0.0000,0.0000,0.0000,0.1570,default
1787849681226,0.0968,0.0000,0.0000,0.0000,0.1570,default
1787849681294,0.0786,0.0000,0.0000,0.0000,0.1570,default
1787849681361,0.0547,0.0000,0.0000,0.0000,0.1570,default
1787849681429,0.0566,0.0000,0.0000,0.0000,0.1275,default
1787849681495,0.0632,0.0000,0.0000,0.0000,0.1275,default
1787849681560,0.0646,0.0000,0.0000,0.0000,0.1275,default
1787849681627,0.0857,0.0000,0.0000,0.0000,0.1275,default
1787849681694,0.0714,0.0000,0.0000,0.0000,0.1275,default
1787849681760,0.0746,0.0000,0.0000,0.0000,0.1275,default
1787849681828,0.0682,0.0000,0.0000,0.0000,0.1275,default
1787849681894,0.0820,0.0000,0.0000,0.0000,0.1275,default
1787849681961,0.1333,0.0000,0.0000,0.0000,0.1275,default
1787849682027,0.1764,0.0000,0.0000,0.0000,0.1275,default
1787849682095,0.2111,0.0000,0.0000,0.0000,0.1275,default
1787849682159,0.2467,0.0000,0.0000,0.0000,0.1275,default
1787849682228,0.2762,0.9987,0.2758,0.0000,0.2758,default
1787849682293,0.2466,0.3745,0.0924,0.0000,0.2758,default
1787849682362,0.2511,0.9987,0.2507,0.0000,0.2758,default
1787849682427,0.1972,0.3695,0.0729,0.0000,0.2758,default
1787849682494,0.1346,0.0000,0.0000,0.0000,0.2758,default
1787849682561,0.1285,0.0000,0.0000,0.0000,0.2758,default
1787849682626,0.1672,0.0000,0.0000,0.0000,0.2758,default
1787849682694,0.1758,0.0000,0.0000,0.0000,0.2758,default
1787849682760,0.2002,0.0000,0.0000,0.0000,0.2758,default
1787849682827,0.1856,0.0000,0.0000,0.0000,0.2758,default
1787849682894,0.1394,0.0000,0.0000,0.0000,0.2758,default
1787849682960,0.1307,0.0000,0.0000,0.0000,0.2758,default
1787849683027,0.0761,0.0000,0.0000,0.0000,0.2758,default
1787849683094,0.1235,0.0000,0.0000,0.0000,0.2758,default
1787849683160,0.1685,0.0000,0.0000,0.0000,0.2758,default
1787849683227,0.1925,0.0000,0.0000,0.0000,0.2758,default
1787849683294,0.1729,0.0000,0.0000,0.0000,0.2758,default
1787849683360,0.1091,0.0000,0.0000,0.0000,0.2758,default
1787849683427,0.1201,0.0000,0.0000,0.0000,0.2758,default
1787849683491,0.1309,0.0000,0.0000,0.0000,0.2758,default
1787849683557,0.1518,0.0000,0.0000,0.0000,0.2758,default
1787849683624,0.1473,0.0000,0.0000,0.0000,0.2758,default
1787849683691,0.1480,0.0000,0.0000,0.0000,0.2758,default
1787849683761,0.1518,0.0000,0.0000,0.0000,0.2758,default
1787849683828,0.1861,0.0000,0.0000,0.0000,0.2758,default
1787849683891,0.1901,0.0000,0.0000,0.0000,0.2758,sideEyeCat
1787849683960,0.1531,0.0000,0.0000,0.0000,0.2758,sideEyeCat
1787849684027,0.1305,0.0000,0.0000,0.0000,0.2758,sideEyeCat
1787849684093,0.1788,0.0000,0.0000,0.0000,0.2758,sideEyeCat
1787849684194,0.3380,0.3835,0.1297,0.0000,0.2758,sideEyeCat
1787849684259,0.4255,0.7062,0.3005,0.0000,0.3005,sideEyeCat
1787849684328,0.3893,0.6462,0.2515,0.0000,0.3005,sideEyeCat
1787849684428,0.4899,0.6285,0.3079,0.0000,0.3079,sideEyeCat
1787849684526,0.5247,1.0000,0.5247,0.0000,0.5247,sideEyeCat
1787849684594,0.4259,1.0000,0.4259,0.0000,0.5247,sideEyeCat
1787849684660,0.3890,0.9803,0.3814,0.0000,0.5247,sideEyeCat
1787849684727,0.3916,0.9924,0.3886,0.0000,0.5247,sideEyeCat
1787849684794,0.3913,1.0000,0.3913,0.0000,0.5247,sideEyeCat
1787849684858,0.3880,0.9091,0.3527,0.0000,0.5247,sideEyeCat
1787849684928,0.3750,1.0000,0.3750,0.0000,0.5247,sideEyeCat
1787849684993,0.3529,0.8264,0.2916,0.0000,0.5247,sideEyeCat
1787849685059,0.3276,1.0000,0.3276,0.0000,0.5247,sideEyeCat
1787849685126,0.1830,0.9997,0.1829,0.0000,0.5247,sideEyeCat
1787849685194,0.3455,1.0000,0.3455,0.0000,0.5247,default
1787849685259,0.3248,0.4838,0.1572,0.0000,0.5247,default
1787849685327,0.2163,0.0000,0.0000,0.0000,0.5247,default
1787849685392,0.1702,0.0000,0.0000,0.0000,0.5247,default
1787849685461,0.2188,0.0000,0.0000,0.0000,0.5247,default
1787849685528,0.1665,0.0000,0.0000,0.0000,0.5247,default
1787849685594,0.2290,0.0000,0.0000,0.0000,0.5247,default
1787849685660,0.2581,0.0000,0.0000,0.0000,0.5247,default
1787849685726,0.1563,0.0000,0.0000,0.0000,0.5247,default
1787849685794,0.2779,0.0000,0.0000,0.0000,0.5247,default
1787849685860,0.0860,0.0000,0.0000,0.0000,0.5247,default
1787849685927,0.1913,0.0000,0.0000,0.0000,0.5247,default
1787849685992,0.2636,0.0000,0.0000,0.0000,0.5247,default
1787849686056,0.3663,0.0000,0.0000,0.0000,0.5247,default
1787849686127,0.4172,0.0000,0.0000,0.0000,0.5247,default
1787849686194,0.4198,0.0000,0.0000,0.0000,0.5247,default
1787849686260,0.3485,0.0000,0.0000,0.0000,0.5247,default
1787849686326,0.2432,0.0000,0.0000,0.0000,0.5247,default
1787849686392,0.1702,0.0000,0.0000,0.0000,0.5247,default
1787849686460,0.1447,0.0000,0.0000,0.0000,0.5247,default
1787849686526,0.1833,0.0000,0.0000,0.0000,0.5247,default
1787849686593,0.2243,0.0000,0.0000,0.0000,0.4259,default
1787849686660,0.3682,0.0000,0.0000,0.0000,0.3913,default
1787849686726,0.0767,0.0000,0.0000,0.0000,0.3913,default
1787849686794,0.2002,0.0000,0.0000,0.0000,0.3750,default
1787849686860,0.0713,0.0000,0.0000,0.0000,0.3750,default
1787849686927,0.0941,0.0000,0.0000,0.0000,0.3750,default
1787849686993,0.1682,0.0000,0.0000,0.0000,0.3455,default
1787849687060,0.0891,0.0000,0.0000,0.0000,0.3455,default
1787849687125,0.2881,0.0000,0.0000,0.0000,0.3455,default
1787849687193,0.2078,0.0000,0.0000,0.0000,0.3455,default
1787849687259,0.2008,0.0000,0.0000,0.0000,0.0000,default
1787849687326,0.1573,0.0000,0.0000,0.0000,0.0000,default
1787849687394,0.2872,0.5088,0.1461,0.0000,0.1461,default
1787849687493,0.3397,0.7821,0.2657,0.0000,0.2657,default
1787849687558,0.2946,0.7286,0.2146,0.0000,0.2657,default
1787849687626,0.4269,0.8711,0.3719,0.0000,0.3719,default
1787849687692,0.3821,0.8267,0.3159,0.0000,0.3719,default
1787849687759,0.3723,0.8082,0.3009,0.0000,0.3719,default
1787849687825,0.4162,0.6235,0.2595,0.0000,0.3719,sideEyeCat
1787849687892,0.4674,0.3256,0.1522,0.0000,0.3719,sideEyeCat
1787849687959,0.2981,0.9425,0.2810,0.0000,0.3719,sideEyeCat
1787849688026,0.4231,0.3615,0.1530,0.0000,0.3719,sideEyeCat
1787849688092,0.4282,0.2273,0.0973,0.0000,0.3719,sideEyeCat
1787849688158,0.2295,1.0000,0.2295,0.0000,0.3719,sideEyeCat
1787849688225,0.3792,0.9926,0.3764,0.0000,0.3764,sideEyeCat
1787849688291,0.3147,0.3769,0.1186,0.0000,0.3764,sideEyeCat
1787849688357,0.2408,0.0000,0.0000,0.0000,0.3764,default
1787849688425,0.3463,0.0000,0.0000,0.0000,0.3764,default
1787849688491,0.3686,0.0000,0.0000,0.0000,0.3764,default
1787849688557,0.2210,0.0000,0.0000,0.0000,0.3764,default
1787849688625,0.1039,0.0000,0.0000,0.0000,0.3764,default
1787849688691,0.0713,0.0000,0.0000,0.0000,0.3764,default
1787849688758,0.1169,0.0000,0.0000,0.0000,0.3764,default
1787849688824,0.1570,0.0000,0.0000,0.0000,0.3764,default
1787849688891,0.1528,0.0000,0.0000,0.0000,0.3764,default
1787849688958,0.1083,0.0000,0.0000,0.0000,0.3764,default
1787849689024,0.1134,0.0000,0.0000,0.0000,0.3764,default
1787849689092,0.0890,0.0000,0.0000,0.0000,0.3764,default
1787849689159,0.0656,0.0000,0.0000,0.0000,0.3764,default
1787849689225,0.0546,0.0000,0.0000,0.0000,0.3764,default
